publish_date,neg,neu,pos,compound,Date
20010101,0.23,0.473,0.297,0,1/1/2001
20010102,0.096755814,0.83127907,0.071965116,-0.018231395,1/2/2001
20010103,0.100804878,0.812243902,0.08697561,-0.0148,1/3/2001
20010104,0.076235294,0.838464052,0.085294118,0.00984183,1/4/2001
20010105,0.098809524,0.77284127,0.128333333,0.028646032,1/5/2001
20010106,0.108166667,0.768916667,0.122916667,-0.019683333,1/6/2001
20010107,0.097641791,0.883537313,0.018820896,-0.091213433,1/7/2001
20010108,0.098348485,0.819681818,0.081969697,-0.055812121,1/8/2001
20010109,0.126142857,0.830098901,0.043758242,-0.088437363,1/9/2001
20010110,0.2625,0.7375,0,-0.221975,1/10/2001
20010111,0.1025,0.821,0.0765,0,1/11/2001
20010123,0.036822581,0.899870968,0.063306452,0.024993548,1/23/2001
20010124,0.084511111,0.811844444,0.103622222,0.012122222,1/24/2001
20010125,0.135554054,0.799675676,0.06477027,-0.07685,1/25/2001
20010126,0.097564103,0.802897436,0.099564103,-0.004479487,1/26/2001
20010127,0.062291667,0.7978125,0.139895833,0.061416667,1/27/2001
20010128,0.099652174,0.830891304,0.069456522,-0.044026087,1/28/2001
20010129,0.135833333,0.727229167,0.1369375,0.015614583,1/29/2001
20010130,0.147488372,0.734953488,0.117534884,-0.011330233,1/30/2001
20010131,0.107282051,0.829923077,0.062794872,-0.049941026,1/31/2001
20010201,0.109875,0.770625,0.1195,-0.008995313,2/1/2001
20010202,0.045185185,0.793740741,0.161074074,0.10697037,2/2/2001
20010203,0.056266667,0.86055,0.083183333,0.01027,2/3/2001
20010204,0.077181818,0.830515152,0.09230303,0.012718182,2/4/2001
20010205,0.09225,0.753954545,0.153795455,0.052754545,2/5/2001
20010206,0.076035714,0.841178571,0.082785714,0.018828571,2/6/2001
20010207,0.108806452,0.762580645,0.128580645,-0.003777419,2/7/2001
20010208,0.085441176,0.763911765,0.150647059,0.032241176,2/8/2001
20010209,0.077863636,0.748636364,0.173522727,0.111645455,2/9/2001
20010210,0.0585,0.839184211,0.102315789,0.034368421,2/10/2001
20010211,0.051710526,0.858078947,0.090210526,0.038818421,2/11/2001
20010212,0.087875,0.87975,0.032375,-0.082479167,2/12/2001
20010213,0.13325,0.77753125,0.08921875,-0.048984375,2/13/2001
20010214,0.066321429,0.880892857,0.052785714,-0.009266071,2/14/2001
20010215,0.162205882,0.780617647,0.057176471,-0.11105,2/15/2001
20010216,0.140472222,0.738777778,0.12075,-0.060147222,2/16/2001
20010217,0.08395,0.7851,0.130925,0.0398775,2/17/2001
20010218,0.124956522,0.773043478,0.102,-0.050495652,2/18/2001
20010219,0.123413793,0.770137931,0.106413793,-0.032896552,2/19/2001
20010221,0.075243902,0.829536585,0.095268293,0.033426829,2/21/2001
20010222,0.110511111,0.785355556,0.104133333,-0.029688889,2/22/2001
20010223,0.101970149,0.772970149,0.125059701,0.031892537,2/23/2001
20010224,0.120928571,0.773517857,0.105517857,-0.01605,2/24/2001
20010225,0.131961538,0.785884615,0.082153846,-0.088584615,2/25/2001
20010226,0.130526316,0.815657895,0.053842105,-0.102781579,2/26/2001
20010227,0.106925926,0.828555556,0.064518519,-0.050681481,2/27/2001
20010228,0.121058824,0.78872549,0.090235294,-0.065076471,2/28/2001
20010301,0.045529412,0.835823529,0.118676471,0.093,3/1/2001
20010302,0,1,0,0,3/2/2001
20010305,0,0.392,0.608,0.4767,3/5/2001
20010309,0,1,0,0,3/9/2001
20010311,0.118529412,0.709676471,0.171764706,0.050541176,3/11/2001
20010313,0.444,0.556,0,-0.1531,3/13/2001
20010314,0.085166667,0.835119048,0.079714286,-0.017864286,3/14/2001
20010315,0.071851852,0.867462963,0.060685185,-0.019440741,3/15/2001
20010316,0,1,0,0,3/16/2001
20010317,0,1,0,0,3/17/2001
20010318,0.116632653,0.787755102,0.095612245,-0.021322449,3/18/2001
20010319,0.12675,0.79655,0.076725,-0.0350825,3/19/2001
20010320,0.096446429,0.816678571,0.086857143,-0.000401786,3/20/2001
20010321,0.120675,0.820925,0.0584,-0.0738175,3/21/2001
20010322,0.130882353,0.773382353,0.095735294,-0.030797059,3/22/2001
20010323,0.081123288,0.789410959,0.129465753,0.051491781,3/23/2001
20010325,0.063055556,0.861388889,0.075583333,0.030036111,3/25/2001
20010326,0.078836735,0.79844898,0.122734694,0.040404082,3/26/2001
20010327,0.085685714,0.874371429,0.039942857,-0.071591429,3/27/2001
